_id,businessname,dbaname,address,city,state,zip,licstatus,licensecat,descript,license_add_dt_tm,dayphn_cleaned,property_id,latitude,longitude
1,100 Federal Market & Barista- 10th Floor,,100 Federal,Boston,MA,02110,Active,FS,Eating & Drinking,2023-08-09 16:00:26.99+00,6174345000,57150,42.354770000088834,-71.0561300019333
2,100 Federal Market & Barista- 11th Floor,,100 Federal,Boston,MA,02110,Active,FT,Eating & Drinking w/ Take Out,2021-01-12 15:37:24.463+00,6174345000,57150,42.354770000088834,-71.0561300019333
3,100 Federal Smoothie Bar- 11th Floor,,100 Federal,Boston,MA,02110,Active,FS,Eating & Drinking,2023-12-26 15:36:08.637+00,6174345000,57150,42.354770000088834,-71.0561300019333
4,110 Grill,,25 Jan Karski,Dorchester,MA,02125,Active,FS,Eating & Drinking,2018-11-29 19:14:04.217+00,9786929450,421286,42.325194557803286,-71.06117833204564
5,129 Lake Street Cafe,,127 LAKE,Brighton/,MA,02135,Active,FS,Eating & Drinking,2010-10-14 16:49:26+00,5084463942,0,,
6,149 Eat Street,,300 CHELSEA,Charlestown/,MA,02129,Active,FS,Eating & Drinking,2007-10-11 13:08:52+00,6177262520,0,,
7,163 Vietnamese Sandwich,,66 Harrison,Boston,MA,02111,Active,FS,Eating & Drinking,2007-08-09 17:26:45+00,6175427903,69990,42.351289999949145,-71.06105000119224
8,1928 Beacon Hill,,97 Mount Vernon,Boston,MA,02108,Active,FS,Eating & Drinking,2021-10-05 16:30:10.363+00,8572335662,98781,42.35805999981849,-71.06972000155524
9,1928 Rowes Wharf,,30 Rowes,Boston,MA,02110,Active,FS,Eating & Drinking,2025-09-19 13:38:05.673+00,6179826010,156152,42.35664237589748,-71.05030911199451
10,1st Floor Cafe @ Tufts Medical Center,,750 Washington,Boston,MA,02111,Active,FT,Eating & Drinking w/ Take Out,2023-10-04 15:08:25.153+00,,158017,42.35055564807489,-71.06286082550342
11,200 Club - 3rd Fl.,,200 Clarendon,Boston,MA,02116,Active,FS,Eating & Drinking,2024-06-05 17:20:20.83+00,,33209,42.34921000046016,-71.07513000164919
12,20TH CENTRY BOWLING LANES,,1231 Hyde Park,Hyde Park,MA,02136,Active,FT,Eating & Drinking w/ Take Out,2006-12-07 18:34:04+00,6173645274,77089,42.25681999986055,-71.12411000050824
13,211 Better Bagels,,211 Congress,Boston,MA,02110,Active,FT,Eating & Drinking w/ Take Out,2022-05-17 18:20:52.983+00,5084239773,358043,42.354680000025105,-71.05494000172826
14,21 ST. AMENDMENT,,150 Bowdoin,Boston,MA,02108,Active,FS,Eating & Drinking,2006-12-07 18:34:35+00,6172277100,158193,42.35833625776443,-71.06258112499432
15,224 BOSTON,,224 Boston,Dorchester,MA,02125,Active,FS,Eating & Drinking,2018-08-01 19:20:09.77+00,6172651217,156048,42.32227215594667,-71.06084832964727
16,311,,605 Tremont,Roxbury,MA,02118,Active,FS,Eating & Drinking,2022-08-01 15:00:41.393+00,,137766,42.34314000064306,-71.07364000070825
17,320 Cafe,,314 Spring,West Roxbury,MA,02132,Active,FS,Eating & Drinking,2017-08-23 17:20:17.51+00,3057851745,157799,42.271712713121644,-71.17211042683964
18,3rd Floor @ Tufts Medical Center,,750 Washington,Boston,MA,02111,Active,FT,Eating & Drinking w/ Take Out,2023-10-04 15:08:08.557+00,,158017,42.35055564807489,-71.06286082550342
19,410- North End Butcher,,100 Legends,Boston,MA,02114,Active,FT,Eating & Drinking w/ Take Out,2009-01-28 16:01:15+00,6176241610,,,
20,417-Sal's Pizza,,100 Legends,Boston,MA,02114,Active,FT,Eating & Drinking w/ Take Out,2009-02-01 16:31:47+00,6176241610,,,
21,50/50 Lounge,,1 Dalton,Boston,MA,02115,Active,FS,Eating & Drinking,2020-07-02 15:47:22.463+00,6175301741,437941,42.34577356277369,-71.08404592672916
22,521  Function Kitchen,,4 Jersey,Boston,MA,02215,Active,FS,Eating & Drinking,2022-02-22 19:26:20.017+00,6179825146,424258,42.34673007807398,-71.0986629781914
23,5W Bar,,100 Legends,Boston,MA,02114,Active,FT,Eating & Drinking w/ Take Out,2024-08-08 15:35:05.86+00,6176241610,340814,42.36616322384503,-71.06194055953804
24,728 Causeway Cones,,100 Legends,Boston,MA,02114,Active,FT,Eating & Drinking w/ Take Out,2011-01-11 14:09:30+00,6176241610,340814,42.36616322384503,-71.06194055953804
25,753 South,,749 South,Roslindale,MA,02131,Active,FS,Eating & Drinking,2017-04-21 17:23:42.06+00,6176204626,128941,42.28715999960239,-71.12912000130427
26,75 CHESTNUT,,75 Chestnut,Boston,MA,02108,Active,FS,Eating & Drinking,2006-12-07 18:34:54+00,6172272175,31472,42.3568980001237,-71.07097100104212
27,75 On Liberty Wharf,,220 Northern,Boston,MA,02210,Active,FS,Eating & Drinking,2012-05-18 14:28:35+00,6178547631,342823,42.34910346272386,-71.03888919782614
28,7th Street Burger,,267 Newbury,Boston,MA,02116,Active,FT,Eating & Drinking w/ Take Out,2025-11-19 16:12:45.357+00,,101480,42.34955400002835,-71.08350500195122
